round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,6407,11924,17035,30250,209,22.6809,22.6809,0.00156213,0.00339367
0,1,2,1,1,4559,10076,11563,24778,209,31.6009,31.6009,0.00117665,0.0023304
0,2,2,1,1,4918,10100,13938,28391,265,19.4418,19.4418,0.00103627,0.00257856
0,3,2,1,1,3070,8252,8466,22919,265,28.5618,28.5618,0.000739742,0.00178027
0,4,2,1,1,4764,9946,13482,27935,265,20.2018,20.2018,0.000985057,0.00245064
0,5,2,1,1,2916,8098,8010,22463,265,29.3218,29.3218,0.000723066,0.00178333
0,6,2,1,1,5945,11462,15667,28882,209,24.9609,24.9609,0.00117684,0.00279587
0,7,2,1,1,2762,7944,7554,22007,265,30.0818,30.0818,0.000778709,0.00172949
0,8,2,1,1,4456,9638,12570,27023,265,21.7218,21.7218,0.000915693,0.00230418
0,9,2,1,1,3943,9448,9739,22939,209,34.6409,34.6409,0.00113028,0.00206588
0,10,2,1,1,5072,10254,14394,28847,265,18.6818,18.6818,0.00113441,0.00244676
0,11,2,1,1,3224,8406,8922,23375,265,27.8018,27.8018,0.000786151,0.00181054
0,12,2,1,1,6253,11770,16579,29794,209,23.4409,23.4409,0.00119461,0.00292889
0,13,2,1,1,3070,8252,8466,22919,265,28.5618,28.5618,0.000895975,0.00180578
0,14,2,1,1,4764,9946,13482,27935,265,20.2018,20.2018,0.000942023,0.00245642
0,15,2,1,1,2916,8098,8010,22463,265,29.3218,29.3218,0.000723658,0.00175569
0,16,2,1,1,4610,9792,13026,27479,265,20.9618,20.9618,0.000925628,0.0023114
0,17,2,1,1,4097,9614,10195,23410,209,33.8809,33.8809,0.000977365,0.00209933
0,18,2,1,1,5791,11308,15211,28426,209,25.7209,25.7209,0.00115645,0.00266958
0,19,2,1,1,2608,7790,7098,21551,265,30.8418,30.8418,0.000690128,0.00161448
0,20,2,1,1,5072,10254,14394,28847,265,18.6818,18.6818,0.0010467,0.00248896
0,21,2,1,1,3224,8406,8922,23375,265,27.8018,27.8018,0.000762626,0.00183435
0,22,2,1,1,4918,10100,13938,28391,265,19.4418,19.4418,0.000958166,0.00241364
0,23,2,1,1,3070,8252,8466,22919,265,28.5618,28.5618,0.000742066,0.00177001
0,24,2,1,1,6099,11616,16123,29338,209,24.2009,24.2009,0.00118842,0.00286957
0,25,2,1,1,4251,9768,10651,23866,209,33.1209,33.1209,0.000965809,0.00212354
0,26,2,1,1,4610,9792,13026,27479,265,20.9618,20.9618,0.000929625,0.00235026
0,27,2,1,1,2762,7944,7554,22007,265,30.0818,30.0818,0.000698921,0.00169659
0,28,2,1,1,4456,9638,12570,27023,265,21.7218,21.7218,0.000895333,0.00226402
0,29,2,1,1,2608,7790,7098,21551,265,30.8418,30.8418,0.000667484,0.00159712
0,30,2,1,1,6407,11924,17035,30250,209,22.6809,22.6809,0.00131208,0.0029513
0,31,2,1,1,3224,8406,8922,23375,265,27.8018,27.8018,0.000778189,0.00186959
0,32,2,1,1,4918,10100,13938,28391,265,19.4418,19.4418,0.000957847,0.0024334
0,33,2,1,1,4405,9922,11107,24322,209,32.3609,32.3609,0.000959779,0.00223145
0,34,2,1,1,4764,9946,13482,27935,265,20.2018,20.2018,0.000945679,0.00238173
0,35,2,1,1,2916,8098,8010,22463,265,29.3218,29.3218,0.000711109,0.00173845
0,36,2,1,1,5945,11462,15667,28882,209,24.9609,24.9609,0.0012031,0.0027081
0,37,2,1,1,2762,7944,7554,22007,265,30.0818,30.0818,0.000702656,0.00167071
0,38,2,1,1,4456,9638,12570,27023,265,21.7218,21.7218,0.000899209,0.00252746
0,39,2,1,1,2608,7790,7098,21551,265,30.8418,30.8418,0.000677479,0.00162897
