agent_id,start_node,target_node,earliest_departure,preferred_arrival,latest_arrival,move_interval,train_class,wait_cost,tardiness_cost,prox_weight,spacing_weight,desired_spacing
0,20,21,0,20,31,1,passenger,0.22,1.2,1.0,0.25,2.0
1,22,23,1,38,51,2,freight,0.18,0.9,1.0,0.25,2.0
2,24,25,3,25,37,1,regional,0.24,1.0,0.9,0.2,2.0
3,46,47,2,22,33,1,passenger,0.22,1.2,1.0,0.25,2.0
4,48,49,3,40,53,1,passenger,0.18,0.9,1.0,0.25,2.0
5,50,51,5,27,39,1,regional,0.24,1.0,0.9,0.2,2.0
6,72,73,4,24,35,1,passenger,0.22,1.2,1.0,0.25,2.0
7,74,75,5,42,55,1,passenger,0.18,0.9,1.0,0.25,2.0
8,76,77,7,29,41,1,regional,0.24,1.0,0.9,0.2,2.0
9,98,99,6,26,37,1,passenger,0.22,1.2,1.0,0.25,2.0
10,100,101,7,44,57,2,freight,0.18,0.9,1.0,0.25,2.0
11,102,103,9,31,43,1,regional,0.24,1.0,0.9,0.2,2.0
12,124,125,0,20,31,1,passenger,0.22,1.2,1.0,0.25,2.0
13,126,127,1,38,51,1,passenger,0.18,0.9,1.0,0.25,2.0
14,128,129,3,25,37,1,regional,0.24,1.0,0.9,0.2,2.0
15,150,151,2,22,33,1,passenger,0.22,1.2,1.0,0.25,2.0
16,152,153,3,40,53,1,passenger,0.18,0.9,1.0,0.25,2.0
17,154,155,5,27,39,1,regional,0.24,1.0,0.9,0.2,2.0
18,176,177,4,24,35,1,passenger,0.22,1.2,1.0,0.25,2.0
19,178,179,5,42,55,2,freight,0.18,0.9,1.0,0.25,2.0
20,180,181,7,29,41,1,regional,0.24,1.0,0.9,0.2,2.0
21,202,203,6,26,37,1,passenger,0.22,1.2,1.0,0.25,2.0
22,204,205,7,44,57,1,passenger,0.18,0.9,1.0,0.25,2.0
23,206,207,9,31,43,1,regional,0.24,1.0,0.9,0.2,2.0
24,228,229,0,20,31,1,passenger,0.22,1.2,1.0,0.25,2.0
25,230,231,1,38,51,1,passenger,0.18,0.9,1.0,0.25,2.0
26,232,233,3,25,37,1,regional,0.24,1.0,0.9,0.2,2.0
27,254,255,2,22,33,1,passenger,0.22,1.2,1.0,0.25,2.0
28,256,257,3,40,53,2,freight,0.18,0.9,1.0,0.25,2.0
29,258,259,5,27,39,1,regional,0.24,1.0,0.9,0.2,2.0
30,280,281,4,24,35,1,passenger,0.22,1.2,1.0,0.25,2.0
31,282,283,5,42,55,1,passenger,0.18,0.9,1.0,0.25,2.0
32,284,285,7,29,41,1,regional,0.24,1.0,0.9,0.2,2.0
33,306,307,6,26,37,1,passenger,0.22,1.2,1.0,0.25,2.0
34,308,309,7,44,57,1,passenger,0.18,0.9,1.0,0.25,2.0
35,310,311,9,31,43,1,regional,0.24,1.0,0.9,0.2,2.0
36,332,333,0,20,31,1,passenger,0.22,1.2,1.0,0.25,2.0
37,334,335,1,38,51,2,freight,0.18,0.9,1.0,0.25,2.0
38,336,337,3,25,37,1,regional,0.24,1.0,0.9,0.2,2.0
39,358,359,2,22,33,1,passenger,0.22,1.2,1.0,0.25,2.0
40,360,361,3,40,53,1,passenger,0.18,0.9,1.0,0.25,2.0
41,362,363,5,27,39,1,regional,0.24,1.0,0.9,0.2,2.0
42,384,385,4,24,35,1,passenger,0.22,1.2,1.0,0.25,2.0
43,386,387,5,42,55,1,passenger,0.18,0.9,1.0,0.25,2.0
44,388,389,7,29,41,1,regional,0.24,1.0,0.9,0.2,2.0
45,410,411,6,26,37,1,passenger,0.22,1.2,1.0,0.25,2.0
46,412,413,7,44,57,2,freight,0.18,0.9,1.0,0.25,2.0
47,414,415,9,31,43,1,regional,0.24,1.0,0.9,0.2,2.0
