node_id,x,y,resource_id,kind
0,0,4,-1,track
1,1,4,-1,track
2,2,4,-1,track
3,3,4,-1,track
4,4,4,-1,switch
5,5,4,-1,track
6,6,4,-1,track
7,7,4,-1,track
8,8,4,-1,track
9,4,0,-1,track
10,4,1,-1,track
11,4,2,-1,track
12,4,3,-1,track
13,4,5,-1,track
14,4,6,-1,track
15,4,7,-1,track
16,4,8,-1,track
17,2,5,-1,siding
18,3,5,-1,siding
19,5,5,-1,siding
20,6,5,-1,siding
21,5,2,-1,siding
22,5,3,-1,siding
23,5,6,-1,siding
24,0,4,-1,private_start
25,8,4,-1,private_goal
26,8,4,-1,private_start
27,0,4,-1,private_goal
28,4,0,-1,private_start
29,4,8,-1,private_goal
30,4,8,-1,private_start
31,4,0,-1,private_goal
32,12,4,-1,track
33,13,4,-1,track
34,14,4,-1,track
35,15,4,-1,track
36,16,4,-1,switch
37,17,4,-1,track
38,18,4,-1,track
39,19,4,-1,track
40,20,4,-1,track
41,16,0,-1,track
42,16,1,-1,track
43,16,2,-1,track
44,16,3,-1,track
45,16,5,-1,track
46,16,6,-1,track
47,16,7,-1,track
48,16,8,-1,track
49,14,5,-1,siding
50,15,5,-1,siding
51,17,5,-1,siding
52,18,5,-1,siding
53,17,2,-1,siding
54,17,3,-1,siding
55,17,6,-1,siding
56,12,4,-1,private_start
57,20,4,-1,private_goal
58,20,4,-1,private_start
59,12,4,-1,private_goal
60,16,0,-1,private_start
61,16,8,-1,private_goal
62,16,8,-1,private_start
63,16,0,-1,private_goal
64,24,4,-1,track
65,25,4,-1,track
66,26,4,-1,track
67,27,4,-1,track
68,28,4,-1,switch
69,29,4,-1,track
70,30,4,-1,track
71,31,4,-1,track
72,32,4,-1,track
73,28,0,-1,track
74,28,1,-1,track
75,28,2,-1,track
76,28,3,-1,track
77,28,5,-1,track
78,28,6,-1,track
79,28,7,-1,track
80,28,8,-1,track
81,26,5,-1,siding
82,27,5,-1,siding
83,29,5,-1,siding
84,30,5,-1,siding
85,29,2,-1,siding
86,29,3,-1,siding
87,29,6,-1,siding
88,24,4,-1,private_start
89,32,4,-1,private_goal
