agent_id,time,node_id,x,y,train_class
0,0,20,0,0,passenger
0,1,0,0,0,passenger
0,2,1,1,0,passenger
0,3,2,2,0,passenger
0,4,3,3,0,passenger
0,5,4,4,0,passenger
0,6,5,5,0,passenger
0,7,6,6,0,passenger
0,8,7,7,0,passenger
0,9,8,8,0,passenger
0,10,9,9,0,passenger
0,11,9,9,0,passenger
0,12,9,9,0,passenger
0,13,9,9,0,passenger
0,14,9,9,0,passenger
0,15,9,9,0,passenger
0,16,10,10,0,passenger
0,17,11,11,0,passenger
0,18,12,12,0,passenger
0,19,13,13,0,passenger
0,20,14,14,0,passenger
0,21,15,15,0,passenger
0,22,16,16,0,passenger
0,23,21,16,0,passenger
0,24,21,16,0,passenger
0,25,21,16,0,passenger
0,26,21,16,0,passenger
0,27,21,16,0,passenger
0,28,21,16,0,passenger
0,29,21,16,0,passenger
0,30,21,16,0,passenger
0,31,21,16,0,passenger
0,32,21,16,0,passenger
0,33,21,16,0,passenger
0,34,21,16,0,passenger
0,35,21,16,0,passenger
0,36,21,16,0,passenger
0,37,21,16,0,passenger
0,38,21,16,0,passenger
0,39,21,16,0,passenger
0,40,21,16,0,passenger
0,41,21,16,0,passenger
0,42,21,16,0,passenger
0,43,21,16,0,passenger
0,44,21,16,0,passenger
0,45,21,16,0,passenger
0,46,21,16,0,passenger
0,47,21,16,0,passenger
0,48,21,16,0,passenger
0,49,21,16,0,passenger
0,50,21,16,0,passenger
0,51,21,16,0,passenger
0,52,21,16,0,passenger
0,53,21,16,0,passenger
0,54,21,16,0,passenger
0,55,21,16,0,passenger
0,56,21,16,0,passenger
0,57,21,16,0,passenger
1,0,22,16,0,freight
1,1,22,16,0,freight
1,2,16,16,0,freight
1,3,16,16,0,freight
1,4,15,15,0,freight
1,5,15,15,0,freight
1,6,14,14,0,freight
1,7,14,14,0,freight
1,8,13,13,0,freight
1,9,13,13,0,freight
1,10,12,12,0,freight
1,11,12,12,0,freight
1,12,11,11,0,freight
1,13,11,11,0,freight
1,14,10,10,0,freight
1,15,10,10,0,freight
1,16,19,9,1,freight
1,17,19,9,1,freight
1,18,18,8,1,freight
1,19,18,8,1,freight
1,20,17,7,1,freight
1,21,17,7,1,freight
