round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,3,1,1,27741,91826,376265,818988,8287,96.748,96.748,0.00976767,0.111133
0,1,3,1,1,18580,81274,328114,1008283,8131,71.9208,71.9208,0.00676137,0.101356
0,2,3,1,1,17820,80514,312228,992397,8131,73.2008,73.2008,0.00662273,0.0981055
0,3,3,1,1,25425,89448,331001,773514,8287,100.588,100.588,0.0083337,0.0937872
0,4,3,1,1,19340,82034,344000,1024169,8131,70.6408,70.6408,0.00680016,0.104584
0,5,3,1,1,18580,81274,328114,1008283,8131,71.9208,71.9208,0.0068219,0.103047
0,6,3,1,1,26197,90282,346089,788812,8287,99.308,99.308,0.00861969,0.0962655
0,7,3,1,1,17060,79754,296342,976511,8131,74.4808,74.4808,0.0064935,0.0950905
0,8,3,1,1,19340,82034,344000,1024169,8131,70.6408,70.6408,0.00687176,0.103757
0,9,3,1,1,26969,91054,361177,803900,8287,98.028,98.028,0.00873158,0.100726
0,10,3,1,1,17820,80514,312228,992397,8131,73.2008,73.2008,0.00682331,0.0983403
0,11,3,1,1,17060,79754,296342,976511,8131,74.4808,74.4808,0.0063632,0.0939583
0,12,3,1,1,27741,91826,376265,818988,8287,96.748,96.748,0.00889468,0.103822
0,13,3,1,1,18580,81274,328114,1008283,8131,71.9208,71.9208,0.0066823,0.101152
0,14,3,1,1,17820,80514,312228,992397,8131,73.2008,73.2008,0.00658051,0.0972798
0,15,3,1,1,25425,89448,331001,773514,8287,100.588,100.588,0.00830672,0.0929049
