train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
WB1F,1,7,1,0,0,0,1.0,0,0,0,0,108
WB2F,1,7,1,0,0,0,1.0,26,0,0,0,134
WB3I,1,7,1,0,0,0,1.25,52,0,0,0,139
WB4F,1,7,1,0,0,0,1.0,78,0,0,0,186
WB5F,1,7,1,0,0,0,1.0,104,0,0,0,212
WB6I,1,7,1,0,0,0,1.25,130,0,0,0,217
WB7F,1,7,1,0,0,0,1.0,156,0,0,0,264
WB8F,1,7,1,0,0,0,1.0,182,0,0,0,290
WB9I,1,7,1,0,0,0,1.25,208,0,0,0,295
WB10F,1,7,1,0,0,0,1.0,234,0,0,0,342
EB1F,7,1,2,0,0,0,1.0,13,0,0,0,80
EB2F,7,1,2,0,0,0,1.0,39,0,0,0,106
EB3I,7,1,2,0,0,0,1.25,65,0,0,0,120
EB4F,7,1,2,0,0,0,1.0,91,0,0,0,158
EB5F,7,1,2,0,0,0,1.0,117,0,0,0,184
EB6I,7,1,2,0,0,0,1.25,143,0,0,0,198
EB7F,7,1,2,0,0,0,1.0,169,0,0,0,236
EB8F,7,1,2,0,0,0,1.0,195,0,0,0,262
EB9I,7,1,2,0,0,0,1.25,221,0,0,0,276
EB10F,7,1,2,0,0,0,1.0,247,0,0,0,314
WBP,1,7,1,0,0,0,1.5,120,0,0,0,192
EBP,7,1,2,0,0,0,1.5,150,0,0,0,196
