node_id,x,y,resource_id,kind
0,-2,0,-1,private_start
1,8,0,-1,private_goal
2,8,1,-1,private_start
3,-2,1,-1,private_goal
4,0,0,1000,terminal
5,1,0,1001,track
6,2,0,1002,junction
7,3,0,1003,main
8,3,1,1004,siding
9,4,0,1005,junction
10,5,0,1006,track
11,6,0,1007,terminal
12,-2,4,-1,private_start
13,8,4,-1,private_goal
14,8,5,-1,private_start
15,-2,5,-1,private_goal
16,0,4,1020,terminal
17,1,4,1021,track
18,2,4,1022,junction
19,3,4,1023,main
20,3,5,1024,siding
21,4,4,1025,junction
22,5,4,1026,track
23,6,4,1027,terminal
24,-2,8,-1,private_start
25,8,8,-1,private_goal
26,8,9,-1,private_start
27,-2,9,-1,private_goal
28,0,8,1040,terminal
29,1,8,1041,track
30,2,8,1042,junction
31,3,8,1043,main
32,3,9,1044,siding
33,4,8,1045,junction
34,5,8,1046,track
35,6,8,1047,terminal
36,-2,12,-1,private_start
37,8,12,-1,private_goal
38,8,13,-1,private_start
39,-2,13,-1,private_goal
40,0,12,1060,terminal
41,1,12,1061,track
42,2,12,1062,junction
43,3,12,1063,main
44,3,13,1064,siding
45,4,12,1065,junction
46,5,12,1066,track
47,6,12,1067,terminal
