arc_id,from_node,to_node,base_cost,resource_id
0,0,1,1.0,0
1,1,0,1.0,0
2,1,2,1.0,1
3,2,1,1.0,1
4,2,3,1.0,2
5,3,2,1.0,2
6,3,4,1.0,3
7,4,3,1.0,3
8,4,5,1.0,4
9,5,4,1.0,4
10,5,6,1.0,5
11,6,5,1.0,5
12,6,7,1.0,6
13,7,6,1.0,6
14,7,8,1.0,7
15,8,7,1.0,7
16,8,9,1.0,8
17,9,8,1.0,8
18,9,10,1.0,9
19,10,9,1.0,9
20,10,11,1.0,10
21,11,10,1.0,10
22,11,12,1.0,11
23,12,11,1.0,11
24,4,13,1.05,100
25,13,4,1.05,100
26,13,14,1.0,101
27,14,13,1.0,101
28,14,15,1.0,102
29,15,14,1.0,102
30,15,8,1.05,103
31,8,15,1.05,103
32,16,0,0.5,-1
33,12,17,0.5,-1
34,18,12,0.5,-1
35,0,19,0.5,-1
36,20,21,1.0,1000
37,21,20,1.0,1000
38,21,22,1.0,1001
39,22,21,1.0,1001
40,22,23,1.0,1002
41,23,22,1.0,1002
42,23,24,1.0,1003
43,24,23,1.0,1003
44,24,25,1.0,1004
45,25,24,1.0,1004
46,25,26,1.0,1005
47,26,25,1.0,1005
48,26,27,1.0,1006
49,27,26,1.0,1006
50,27,28,1.0,1007
51,28,27,1.0,1007
52,28,29,1.0,1008
53,29,28,1.0,1008
54,29,30,1.0,1009
55,30,29,1.0,1009
56,30,31,1.0,1010
57,31,30,1.0,1010
58,31,32,1.0,1011
59,32,31,1.0,1011
60,24,33,1.05,1100
61,33,24,1.05,1100
62,33,34,1.0,1101
63,34,33,1.0,1101
64,34,35,1.0,1102
65,35,34,1.0,1102
66,35,28,1.05,1103
67,28,35,1.05,1103
68,36,20,0.5,-1
69,32,37,0.5,-1
70,38,32,0.5,-1
71,20,39,0.5,-1
72,40,41,1.0,2000
73,41,40,1.0,2000
74,41,42,1.0,2001
75,42,41,1.0,2001
76,42,43,1.0,2002
77,43,42,1.0,2002
78,43,44,1.0,2003
79,44,43,1.0,2003
80,44,45,1.0,2004
81,45,44,1.0,2004
82,45,46,1.0,2005
83,46,45,1.0,2005
84,46,47,1.0,2006
85,47,46,1.0,2006
86,47,48,1.0,2007
87,48,47,1.0,2007
88,48,49,1.0,2008
89,49,48,1.0,2008
90,49,50,1.0,2009
91,50,49,1.0,2009
92,50,51,1.0,2010
93,51,50,1.0,2010
94,51,52,1.0,2011
95,52,51,1.0,2011
96,44,53,1.05,2100
97,53,44,1.05,2100
98,53,54,1.0,2101
99,54,53,1.0,2101
100,54,55,1.0,2102
101,55,54,1.0,2102
102,55,48,1.05,2103
103,48,55,1.05,2103
104,56,40,0.5,-1
105,52,57,0.5,-1
106,58,52,0.5,-1
107,40,59,0.5,-1
108,60,61,1.0,3000
109,61,60,1.0,3000
110,61,62,1.0,3001
111,62,61,1.0,3001
112,62,63,1.0,3002
113,63,62,1.0,3002
114,63,64,1.0,3003
115,64,63,1.0,3003
116,64,65,1.0,3004
117,65,64,1.0,3004
118,65,66,1.0,3005
119,66,65,1.0,3005
120,66,67,1.0,3006
121,67,66,1.0,3006
122,67,68,1.0,3007
123,68,67,1.0,3007
124,68,69,1.0,3008
125,69,68,1.0,3008
126,69,70,1.0,3009
127,70,69,1.0,3009
128,70,71,1.0,3010
129,71,70,1.0,3010
130,71,72,1.0,3011
131,72,71,1.0,3011
132,64,73,1.05,3100
133,73,64,1.05,3100
134,73,74,1.0,3101
135,74,73,1.0,3101
136,74,75,1.0,3102
137,75,74,1.0,3102
138,75,68,1.05,3103
139,68,75,1.05,3103
140,76,60,0.5,-1
141,72,77,0.5,-1
142,78,72,0.5,-1
143,60,79,0.5,-1
144,80,81,1.0,4000
145,81,80,1.0,4000
146,81,82,1.0,4001
147,82,81,1.0,4001
148,82,83,1.0,4002
149,83,82,1.0,4002
150,83,84,1.0,4003
151,84,83,1.0,4003
152,84,85,1.0,4004
153,85,84,1.0,4004
154,85,86,1.0,4005
155,86,85,1.0,4005
156,86,87,1.0,4006
157,87,86,1.0,4006
158,87,88,1.0,4007
159,88,87,1.0,4007
160,88,89,1.0,4008
161,89,88,1.0,4008
162,89,90,1.0,4009
163,90,89,1.0,4009
164,90,91,1.0,4010
165,91,90,1.0,4010
166,91,92,1.0,4011
167,92,91,1.0,4011
168,84,93,1.05,4100
169,93,84,1.05,4100
170,93,94,1.0,4101
171,94,93,1.0,4101
172,94,95,1.0,4102
173,95,94,1.0,4102
174,95,88,1.05,4103
175,88,95,1.05,4103
176,96,80,0.5,-1
177,92,97,0.5,-1
178,98,92,0.5,-1
179,80,99,0.5,-1
180,100,101,1.0,5000
181,101,100,1.0,5000
182,101,102,1.0,5001
183,102,101,1.0,5001
184,102,103,1.0,5002
185,103,102,1.0,5002
186,103,104,1.0,5003
187,104,103,1.0,5003
188,104,105,1.0,5004
189,105,104,1.0,5004
190,105,106,1.0,5005
191,106,105,1.0,5005
192,106,107,1.0,5006
193,107,106,1.0,5006
194,107,108,1.0,5007
195,108,107,1.0,5007
196,108,109,1.0,5008
197,109,108,1.0,5008
198,109,110,1.0,5009
199,110,109,1.0,5009
200,110,111,1.0,5010
201,111,110,1.0,5010
202,111,112,1.0,5011
203,112,111,1.0,5011
204,104,113,1.05,5100
205,113,104,1.05,5100
206,113,114,1.0,5101
207,114,113,1.0,5101
208,114,115,1.0,5102
209,115,114,1.0,5102
210,115,108,1.05,5103
211,108,115,1.05,5103
212,116,100,0.5,-1
213,112,117,0.5,-1
214,118,112,0.5,-1
215,100,119,0.5,-1
