node_id,x,y,resource_id,kind
0,-2,0,-1,private_start
1,8,0,-1,private_goal
2,8,1,-1,private_start
3,-2,1,-1,private_goal
4,0,0,1000,terminal
5,1,0,1001,track
6,2,0,1002,junction
7,3,0,1003,main
8,3,1,1004,siding
9,4,0,1005,junction
10,5,0,1006,track
11,6,0,1007,terminal
12,-2,4,-1,private_start
13,8,4,-1,private_goal
14,8,5,-1,private_start
15,-2,5,-1,private_goal
16,0,4,1020,terminal
17,1,4,1021,track
18,2,4,1022,junction
19,3,4,1023,main
20,3,5,1024,siding
21,4,4,1025,junction
22,5,4,1026,track
23,6,4,1027,terminal
24,-2,8,-1,private_start
25,8,8,-1,private_goal
26,8,9,-1,private_start
27,-2,9,-1,private_goal
28,0,8,1040,terminal
29,1,8,1041,track
30,2,8,1042,junction
31,3,8,1043,main
32,3,9,1044,siding
33,4,8,1045,junction
34,5,8,1046,track
35,6,8,1047,terminal
36,-2,12,-1,private_start
37,8,12,-1,private_goal
38,8,13,-1,private_start
39,-2,13,-1,private_goal
40,0,12,1060,terminal
41,1,12,1061,track
42,2,12,1062,junction
43,3,12,1063,main
44,3,13,1064,siding
45,4,12,1065,junction
46,5,12,1066,track
47,6,12,1067,terminal
48,-2,16,-1,private_start
49,8,16,-1,private_goal
50,8,17,-1,private_start
51,-2,17,-1,private_goal
52,0,16,1080,terminal
53,1,16,1081,track
54,2,16,1082,junction
55,3,16,1083,main
56,3,17,1084,siding
57,4,16,1085,junction
58,5,16,1086,track
59,6,16,1087,terminal
60,-2,20,-1,private_start
61,8,20,-1,private_goal
62,8,21,-1,private_start
63,-2,21,-1,private_goal
64,0,20,1100,terminal
65,1,20,1101,track
66,2,20,1102,junction
67,3,20,1103,main
68,3,21,1104,siding
69,4,20,1105,junction
70,5,20,1106,track
71,6,20,1107,terminal
72,-2,24,-1,private_start
73,8,24,-1,private_goal
74,8,25,-1,private_start
75,-2,25,-1,private_goal
76,0,24,1120,terminal
77,1,24,1121,track
78,2,24,1122,junction
79,3,24,1123,main
80,3,25,1124,siding
81,4,24,1125,junction
82,5,24,1126,track
83,6,24,1127,terminal
84,-2,28,-1,private_start
85,8,28,-1,private_goal
86,8,29,-1,private_start
87,-2,29,-1,private_goal
88,0,28,1140,terminal
89,1,28,1141,track
90,2,28,1142,junction
91,3,28,1143,main
92,3,29,1144,siding
93,4,28,1145,junction
94,5,28,1146,track
95,6,28,1147,terminal
