train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01M,1,26,1,0,0,0,1.0,0,0,0,0,377
EB02M,1,26,1,0,0,0,1.0,170,0,0,0,547
EB03Z,1,26,1,0,0,0,1.25,340,0,0,0,644
EB04G,1,26,1,0,0,0,0.85,510,0,0,0,949
EB05M,1,26,1,0,0,0,1.0,680,0,0,0,1057
EB06Z,1,26,1,0,0,0,1.25,850,0,0,0,1154
WB01M,26,1,2,0,0,0,1.0,17,0,0,0,394
WB02M,26,1,2,0,0,0,1.0,187,0,0,0,564
WB03Z,26,1,2,0,0,0,1.25,357,0,0,0,661
WB04G,26,1,2,0,0,0,0.85,527,0,0,0,966
WB05M,26,1,2,0,0,0,1.0,697,0,0,0,1074
WB06Z,26,1,2,0,0,0,1.25,867,0,0,0,1171
