from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,0.64,14.00,14.00,2,4,1
2,3,1.96,39.00,39.00,2,4,1
3,4,10.72,49.00,49.00,2,4,1
4,5,10.56,49.00,49.00,2,4,1
5,6,1.23,49.00,49.00,1,4,1
6,7,0.27,49.00,49.00,2,4,1
7,8,1.24,49.00,49.00,1,4,1
8,9,12.30,49.00,49.00,2,4,1
9,10,11.15,49.00,49.00,2,4,1
10,11,10.68,49.00,49.00,2,4,1
11,12,14.93,49.00,49.00,2,4,1
12,13,12.46,49.00,49.00,2,4,1
13,14,15.50,49.00,49.00,2,4,1
14,15,10.60,47.89,47.89,2,4,1
15,16,11.16,49.00,49.00,2,4,1
16,17,13.13,49.00,49.00,2,4,1
17,18,15.55,49.00,49.00,2,4,1
18,19,7.36,49.00,49.00,2,4,1
19,20,8.59,35.00,35.00,2,4,1
20,21,13.79,49.00,49.00,2,4,1
21,22,11.54,49.00,49.00,2,4,1
22,23,8.48,49.00,49.00,2,4,1
23,24,2.20,39.00,39.00,2,4,1
24,25,0.93,49.00,49.00,2,4,1
