round,group_id,group_size,reduced_feasible,full_feasible,reduced_states,reduced_transitions,full_states,full_transitions,screened,reduced_objective,full_objective,reduced_wall_s,full_wall_s
0,0,2,1,1,17035,30250,17035,30250,0,22.5209,22.5209,0.00410804,0.00316829
0,1,2,1,1,11563,24778,11563,24778,0,31.4409,31.4409,0.00228571,0.00228934
0,2,2,1,1,13938,28391,13938,28391,0,19.2818,19.2818,0.00248782,0.0032914
0,3,2,1,1,8466,22919,8466,22919,0,28.4018,28.4018,0.00182569,0.00178581
0,4,2,1,1,13482,27935,13482,27935,0,20.0418,20.0418,0.00240106,0.00238955
0,5,2,1,1,8010,22463,8010,22463,0,29.1618,29.1618,0.00171825,0.00172469
0,6,2,1,1,15667,28882,15667,28882,0,24.8009,24.8009,0.00358295,0.00272913
0,7,2,1,1,7554,22007,7554,22007,0,29.9218,29.9218,0.00172413,0.0016683
0,8,2,1,1,12570,27023,12570,27023,0,21.5618,21.5618,0.00230534,0.00227969
0,9,2,1,1,9739,22939,9739,22939,0,34.4809,34.4809,0.00511688,0.0025677
0,10,2,1,1,14394,28847,14394,28847,0,18.5218,18.5218,0.00259488,0.00247723
0,11,2,1,1,8922,23375,8922,23375,0,27.6418,27.6418,0.00180485,0.0018299
0,12,2,1,1,16579,29794,16579,29794,0,23.2809,23.2809,0.00292835,0.00293737
0,13,2,1,1,8466,22919,8466,22919,0,28.4018,28.4018,0.00181859,0.00179222
0,14,2,1,1,13482,27935,13482,27935,0,20.0418,20.0418,0.00237156,0.00237843
0,15,2,1,1,8010,22463,8010,22463,0,29.1618,29.1618,0.00172072,0.00325723
0,16,2,1,1,13026,27479,13026,27479,0,20.8018,20.8018,0.00258994,0.00231577
0,17,2,1,1,10195,23410,10195,23410,0,33.7209,33.7209,0.00215035,0.0021409
0,18,2,1,1,15211,28426,15211,28426,0,25.5609,25.5609,0.00283863,0.0028696
0,19,2,1,1,7098,21551,7098,21551,0,30.6818,30.6818,0.00166518,0.00168776
0,20,2,1,1,14394,28847,14394,28847,0,18.5218,18.5218,0.0025218,0.00246608
0,21,2,1,1,8922,23375,8922,23375,0,27.6418,27.6418,0.00185868,0.00182117
0,22,2,1,1,13938,28391,13938,28391,0,19.2818,19.2818,0.00246094,0.00256306
0,23,2,1,1,8466,22919,8466,22919,0,28.4018,28.4018,0.00179346,0.00182289
0,24,2,1,1,16123,29338,16123,29338,0,24.0409,24.0409,0.00280867,0.00277251
0,25,2,1,1,10651,23866,10651,23866,0,32.9609,32.9609,0.00218469,0.00213469
0,26,2,1,1,13026,27479,13026,27479,0,20.8018,20.8018,0.00242747,0.00234326
0,27,2,1,1,7554,22007,7554,22007,0,29.9218,29.9218,0.00166385,0.00168593
0,28,2,1,1,12570,27023,12570,27023,0,21.5618,21.5618,0.0022713,0.00228511
0,29,2,1,1,7098,21551,7098,21551,0,30.6818,30.6818,0.00160767,0.00168444
0,30,2,1,1,17035,30250,17035,30250,0,22.5209,22.5209,0.00294401,0.00289838
0,31,2,1,1,8922,23375,8922,23375,0,27.6418,27.6418,0.00186872,0.00184852
0,32,2,1,1,13938,28391,13938,28391,0,19.2818,19.2818,0.00243817,0.00250064
0,33,2,1,1,11107,24322,11107,24322,0,32.2009,32.2009,0.00219468,0.00219951
0,34,2,1,1,13482,27935,13482,27935,0,20.0418,20.0418,0.00237277,0.00235137
0,35,2,1,1,8010,22463,8010,22463,0,29.1618,29.1618,0.00184259,0.0017275
0,36,2,1,1,15667,28882,15667,28882,0,24.8009,24.8009,0.00284876,0.00276066
0,37,2,1,1,7554,22007,7554,22007,0,29.9218,29.9218,0.00167166,0.0017171
0,38,2,1,1,12570,27023,12570,27023,0,21.5618,21.5618,0.00227178,0.0023265
0,39,2,1,1,7098,21551,7098,21551,0,30.6818,30.6818,0.00162091,0.00189682
