arc_id,from_node,to_node,cost,resource_id
0,0,4,0.4,-1
1,11,1,0.4,-1
2,2,11,0.4,-1
3,4,3,0.4,-1
4,4,5,1.0,-1
5,5,4,1.0,-1
6,5,6,1.0,-1
7,6,5,1.0,-1
8,6,7,1.0,-1
9,7,6,1.0,-1
10,7,9,1.0,-1
11,9,7,1.0,-1
12,9,10,1.0,-1
13,10,9,1.0,-1
14,10,11,1.0,-1
15,11,10,1.0,-1
16,6,8,1.0,-1
17,8,6,1.0,-1
18,8,9,1.0,-1
19,9,8,1.0,-1
20,12,16,0.4,-1
21,23,13,0.4,-1
22,14,23,0.4,-1
23,16,15,0.4,-1
24,16,17,1.0,-1
25,17,16,1.0,-1
26,17,18,1.0,-1
27,18,17,1.0,-1
28,18,19,1.0,-1
29,19,18,1.0,-1
30,19,21,1.0,-1
31,21,19,1.0,-1
32,21,22,1.0,-1
33,22,21,1.0,-1
34,22,23,1.0,-1
35,23,22,1.0,-1
36,18,20,1.0,-1
37,20,18,1.0,-1
38,20,21,1.0,-1
39,21,20,1.0,-1
40,24,28,0.4,-1
41,35,25,0.4,-1
42,26,35,0.4,-1
43,28,27,0.4,-1
44,28,29,1.0,-1
45,29,28,1.0,-1
46,29,30,1.0,-1
47,30,29,1.0,-1
48,30,31,1.0,-1
49,31,30,1.0,-1
50,31,33,1.0,-1
51,33,31,1.0,-1
52,33,34,1.0,-1
53,34,33,1.0,-1
54,34,35,1.0,-1
55,35,34,1.0,-1
56,30,32,1.0,-1
57,32,30,1.0,-1
58,32,33,1.0,-1
59,33,32,1.0,-1
60,36,40,0.4,-1
61,47,37,0.4,-1
62,38,47,0.4,-1
63,40,39,0.4,-1
64,40,41,1.0,-1
65,41,40,1.0,-1
66,41,42,1.0,-1
67,42,41,1.0,-1
68,42,43,1.0,-1
69,43,42,1.0,-1
70,43,45,1.0,-1
71,45,43,1.0,-1
72,45,46,1.0,-1
73,46,45,1.0,-1
74,46,47,1.0,-1
75,47,46,1.0,-1
76,42,44,1.0,-1
77,44,42,1.0,-1
78,44,45,1.0,-1
79,45,44,1.0,-1
80,48,52,0.4,-1
81,59,49,0.4,-1
82,50,59,0.4,-1
83,52,51,0.4,-1
84,52,53,1.0,-1
85,53,52,1.0,-1
86,53,54,1.0,-1
87,54,53,1.0,-1
88,54,55,1.0,-1
89,55,54,1.0,-1
90,55,57,1.0,-1
91,57,55,1.0,-1
92,57,58,1.0,-1
93,58,57,1.0,-1
94,58,59,1.0,-1
95,59,58,1.0,-1
96,54,56,1.0,-1
97,56,54,1.0,-1
98,56,57,1.0,-1
99,57,56,1.0,-1
100,60,64,0.4,-1
101,71,61,0.4,-1
102,62,71,0.4,-1
103,64,63,0.4,-1
104,64,65,1.0,-1
105,65,64,1.0,-1
106,65,66,1.0,-1
107,66,65,1.0,-1
108,66,67,1.0,-1
109,67,66,1.0,-1
110,67,69,1.0,-1
111,69,67,1.0,-1
112,69,70,1.0,-1
113,70,69,1.0,-1
114,70,71,1.0,-1
115,71,70,1.0,-1
116,66,68,1.0,-1
117,68,66,1.0,-1
118,68,69,1.0,-1
119,69,68,1.0,-1
120,72,76,0.4,-1
121,83,73,0.4,-1
122,74,83,0.4,-1
123,76,75,0.4,-1
124,76,77,1.0,-1
125,77,76,1.0,-1
126,77,78,1.0,-1
127,78,77,1.0,-1
128,78,79,1.0,-1
129,79,78,1.0,-1
130,79,81,1.0,-1
131,81,79,1.0,-1
132,81,82,1.0,-1
133,82,81,1.0,-1
134,82,83,1.0,-1
135,83,82,1.0,-1
136,78,80,1.0,-1
137,80,78,1.0,-1
138,80,81,1.0,-1
139,81,80,1.0,-1
140,84,88,0.4,-1
141,95,85,0.4,-1
142,86,95,0.4,-1
143,88,87,0.4,-1
144,88,89,1.0,-1
145,89,88,1.0,-1
146,89,90,1.0,-1
147,90,89,1.0,-1
148,90,91,1.0,-1
149,91,90,1.0,-1
150,91,93,1.0,-1
151,93,91,1.0,-1
152,93,94,1.0,-1
153,94,93,1.0,-1
154,94,95,1.0,-1
155,95,94,1.0,-1
156,90,92,1.0,-1
157,92,90,1.0,-1
158,92,93,1.0,-1
159,93,92,1.0,-1
160,96,100,0.4,-1
161,107,97,0.4,-1
162,98,107,0.4,-1
163,100,99,0.4,-1
164,100,101,1.0,-1
165,101,100,1.0,-1
166,101,102,1.0,-1
167,102,101,1.0,-1
168,102,103,1.0,-1
169,103,102,1.0,-1
170,103,105,1.0,-1
171,105,103,1.0,-1
172,105,106,1.0,-1
173,106,105,1.0,-1
174,106,107,1.0,-1
175,107,106,1.0,-1
176,102,104,1.0,-1
177,104,102,1.0,-1
178,104,105,1.0,-1
179,105,104,1.0,-1
180,108,112,0.4,-1
181,119,109,0.4,-1
182,110,119,0.4,-1
183,112,111,0.4,-1
184,112,113,1.0,-1
185,113,112,1.0,-1
186,113,114,1.0,-1
187,114,113,1.0,-1
188,114,115,1.0,-1
189,115,114,1.0,-1
190,115,117,1.0,-1
191,117,115,1.0,-1
192,117,118,1.0,-1
193,118,117,1.0,-1
194,118,119,1.0,-1
195,119,118,1.0,-1
196,114,116,1.0,-1
197,116,114,1.0,-1
198,116,117,1.0,-1
199,117,116,1.0,-1
200,120,124,0.4,-1
201,131,121,0.4,-1
202,122,131,0.4,-1
203,124,123,0.4,-1
204,124,125,1.0,-1
