agent_id,start_node,goal_node,release,preferred_arrival,deadline,movement_interval,train_class,wait_cost,tardy_cost,prox_weight,spacing_weight,desired_spacing
0,0,1,0,10,18,1,express,0.2,1.0,1.0,0.2,2.0
1,2,3,0,10,18,1,regional,0.25,1.2,1.0,0.2,2.0
2,12,13,1,11,19,1,express,0.2,1.0,1.0,0.2,2.0
3,14,15,1,11,19,1,regional,0.25,1.2,1.0,0.2,2.0
4,24,25,0,10,18,1,express,0.2,1.0,1.0,0.2,2.0
5,26,27,0,10,18,1,regional,0.25,1.2,1.0,0.2,2.0
6,36,37,1,11,19,1,express,0.2,1.0,1.0,0.2,2.0
7,38,39,1,11,19,1,regional,0.25,1.2,1.0,0.2,2.0
8,48,49,0,10,18,1,express,0.2,1.0,1.0,0.2,2.0
9,50,51,0,10,18,1,regional,0.25,1.2,1.0,0.2,2.0
10,60,61,1,11,19,1,express,0.2,1.0,1.0,0.2,2.0
11,62,63,1,11,19,1,regional,0.25,1.2,1.0,0.2,2.0
12,72,73,0,10,18,1,express,0.2,1.0,1.0,0.2,2.0
13,74,75,0,10,18,1,regional,0.25,1.2,1.0,0.2,2.0
14,84,85,1,11,19,1,express,0.2,1.0,1.0,0.2,2.0
15,86,87,1,11,19,1,regional,0.25,1.2,1.0,0.2,2.0
16,96,97,0,10,18,1,express,0.2,1.0,1.0,0.2,2.0
17,98,99,0,10,18,1,regional,0.25,1.2,1.0,0.2,2.0
18,108,109,1,11,19,1,express,0.2,1.0,1.0,0.2,2.0
19,110,111,1,11,19,1,regional,0.25,1.2,1.0,0.2,2.0
20,120,121,0,10,18,1,express,0.2,1.0,1.0,0.2,2.0
21,122,123,0,10,18,1,regional,0.25,1.2,1.0,0.2,2.0
22,132,133,1,11,19,1,express,0.2,1.0,1.0,0.2,2.0
23,134,135,1,11,19,1,regional,0.25,1.2,1.0,0.2,2.0
24,144,145,0,10,18,1,express,0.2,1.0,1.0,0.2,2.0
25,146,147,0,10,18,1,regional,0.25,1.2,1.0,0.2,2.0
26,156,157,1,11,19,1,express,0.2,1.0,1.0,0.2,2.0
27,158,159,1,11,19,1,regional,0.25,1.2,1.0,0.2,2.0
28,168,169,0,10,18,1,express,0.2,1.0,1.0,0.2,2.0
29,170,171,0,10,18,1,regional,0.25,1.2,1.0,0.2,2.0
30,180,181,1,11,19,1,express,0.2,1.0,1.0,0.2,2.0
31,182,183,1,11,19,1,regional,0.25,1.2,1.0,0.2,2.0
