rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,220,WB,Intermodal,10101,10124
2,200,WB,Intermodal,10247,10130
3,200,WB,Intermodal,10247,10124
4,200,WB,Intermodal,10101,10130
5,190,WB,Intermodal,10130,10124
6,190,EB,Merchandise,10130,10247
7,190,EB,Merchandise,10130,10101
8,180,WB,Intermodal,11112,10130
9,180,WB,Intermodal,10249,10130
10,180,WB,Intermodal,10249,10124
11,180,EB,Merchandise,10130,11651
12,177,WB,Intermodal,10250,10130
13,170,WB,Intermodal,11112,10124
14,170,WB,Intermodal,10316,10130
15,170,WB,Intermodal,10316,10124
16,170,WB,Intermodal,10290,10130
17,170,WB,Intermodal,10290,10124
18,170,WB,Intermodal,10250,10124
19,170,EB,Merchandise,10364,10247
20,170,EB,Merchandise,10364,10101
21,160,WB,Intermodal,10348,10124
22,160,WB,Intermodal,10342,10130
23,160,WB,Intermodal,10342,10124
24,160,WB,Intermodal,10292,10130
25,160,WB,Intermodal,10292,10124
