from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,13.62,46.38,46.38,2,4,1
2,3,6.79,49.00,49.00,2,4,1
3,4,4.53,28.96,28.96,2,4,1
4,5,0.28,28.00,28.00,1,4,1
5,6,8.65,33.89,33.89,2,4,1
6,7,6.52,39.00,39.00,2,4,1
7,8,12.40,49.00,49.00,2,4,1
8,9,12.42,49.00,49.00,2,4,1
9,10,10.01,49.00,49.00,2,4,1
10,11,10.17,49.00,49.00,2,4,1
11,12,10.14,49.00,49.00,2,4,1
12,13,8.05,43.47,43.47,1,4,1
13,14,3.25,42.00,42.00,2,4,1
14,15,7.54,48.13,48.13,2,4,1
15,16,1.72,49.00,49.00,1,4,1
16,17,11.90,49.00,49.00,2,4,1
17,18,11.00,48.39,48.39,2,4,1
18,19,3.39,49.00,49.00,1,4,1
19,20,13.28,49.00,49.00,2,4,1
20,21,12.95,49.00,49.00,2,4,1
21,22,13.39,47.83,47.83,2,4,1
22,23,11.36,49.00,49.00,2,4,1
23,24,11.12,49.00,49.00,2,4,1
24,25,20.74,49.00,49.00,2,4,1
25,26,11.37,49.00,49.00,2,4,1
