from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,4.19,25.00,25.00,2,4,1
2,3,1.25,25.00,25.00,3,4,1
3,4,10.63,49.00,49.00,3,4,1
4,5,10.31,49.00,49.00,3,4,1
5,6,10.95,49.00,49.00,3,4,1
6,7,11.44,49.00,49.00,3,4,1
7,8,12.11,49.00,49.00,3,4,1
8,9,13.08,49.00,49.00,3,4,1
9,10,9.72,49.00,49.00,3,4,1
10,11,9.84,49.00,49.00,3,4,1
11,12,9.75,49.00,49.00,3,4,1
12,13,7.63,49.00,49.00,3,4,1
13,14,12.08,49.00,49.00,2,4,1
14,15,9.92,49.00,49.00,2,4,1
15,16,7.54,48.99,48.99,2,4,1
16,17,1.38,21.00,21.00,2,4,1
