train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01M,1,23,1,0,0,0,1.0,0,0,0,0,160
EB02Z,1,23,1,0,0,0,1.25,69,0,0,0,198
EB03M,1,23,1,0,0,0,1.0,139,0,0,0,299
EB04Z,1,23,1,0,0,0,1.25,209,0,0,0,338
EB05M,1,23,1,0,0,0,1.0,279,0,0,0,439
EB06G,1,23,1,0,0,0,0.85,348,0,0,0,533
EB07Z,1,23,1,0,0,0,1.25,418,0,0,0,547
EB08M,1,23,1,0,0,0,1.0,488,0,0,0,648
EB09G,1,23,1,0,0,0,0.85,558,0,0,0,743
EB10Z,1,23,1,0,0,0,1.25,628,0,0,0,757
WB01M,23,1,2,0,0,0,1.0,17,0,0,0,177
WB02Z,23,1,2,0,0,0,1.25,86,0,0,0,215
WB03M,23,1,2,0,0,0,1.0,156,0,0,0,316
WB04Z,23,1,2,0,0,0,1.25,226,0,0,0,355
WB05M,23,1,2,0,0,0,1.0,296,0,0,0,456
WB06G,23,1,2,0,0,0,0.85,365,0,0,0,550
WB07Z,23,1,2,0,0,0,1.25,435,0,0,0,564
WB08M,23,1,2,0,0,0,1.0,505,0,0,0,665
WB09G,23,1,2,0,0,0,0.85,575,0,0,0,760
WB10Z,23,1,2,0,0,0,1.25,645,0,0,0,774
