rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,126,WB,Merchandise,11033,10390
2,81,EB,Grain,10488,10023
3,80,WB,Automobile,11656,10390
4,80,EB,Intermodal,10448,11702
5,80,EB,Intermodal,10448,11656
6,80,EB,Intermodal,10448,11033
7,80,EB,Intermodal,10448,10278
8,80,EB,Intermodal,10448,10023
9,70,WB,Intermodal,10278,10390
10,70,WB,Intermodal,10023,10432
11,70,EB,Intermodal,10448,10022
12,70,EB,Intermodal,10448,10021
13,70,EB,Intermodal,10390,10432
14,60,WB,Intermodal,10278,10450
15,60,WB,Intermodal,10023,10469
16,60,WB,Intermodal,10023,10225
17,60,WB,Intermodal,10023,10145
18,60,EB,Merchandise,10488,10023
19,60,EB,Intermodal,10448,10150
20,60,EB,Intermodal,10448,10145
21,50,WB,Intermodal,10278,10533
22,50,WB,Intermodal,10278,10529
23,50,WB,Intermodal,10278,10514
24,50,WB,Intermodal,10278,10506
25,50,WB,Intermodal,10278,10505
