from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,1.59,42.00,42.00,2,4,1
2,3,14.61,54.18,54.18,1,4,1
3,4,6.35,55.00,55.00,1,4,1
4,5,4.32,55.00,55.00,2,4,1
5,6,10.93,55.00,55.00,1,4,1
6,7,7.23,55.00,55.00,1,4,1
7,8,1.61,55.00,55.00,2,4,1
8,9,2.36,42.00,42.00,2,4,1
9,10,11.96,55.00,55.00,1,4,1
10,11,11.54,55.00,55.00,1,4,1
11,12,1.03,42.00,42.00,1,4,1
12,13,1.42,42.00,42.00,2,4,1
13,14,0.93,42.00,42.00,2,4,1
14,15,9.94,54.70,54.70,1,4,1
15,16,11.27,55.00,55.00,1,4,1
16,17,10.91,55.00,55.00,1,4,1
17,18,9.66,55.00,55.00,1,4,1
18,19,3.85,55.00,55.00,1,4,1
19,20,2.76,55.00,55.00,2,4,1
20,21,2.44,35.00,35.00,2,4,1
21,22,1.28,25.00,25.00,2,4,1
22,23,2.27,55.00,55.00,2,4,1
