iteration,conflicts,violation,price_tv_step,total_price,entry_order
0,1,1.0,2.8,2.8,"(0, 1)"
1,1,1.0,3.9597979746446654,2.8,"(0, 1)"
2,1,1.0,4.053262520139572,1.9798989873223327,"(0, 1)"
3,1,1.0,3.1633182335913803,1.6165807537309522,"(0, 1)"
4,1,1.0,2.7209768885307164,1.4,"(0, 1)"
5,1,1.0,2.286190426597633,1.4,"(0, 1)"
6,1,1.0,2.116601048851672,1.4,"(0, 1)"
7,1,1.0,1.9798989873223327,1.4,"(0, 1)"
8,1,1.0,1.8666666666666663,1.4,"(0, 1)"
9,1,1.0,1.7708754896942922,1.4,"(0, 1)"
10,1,1.0,1.6884635296354762,1.4,"(0, 1)"
11,1,1.0,1.6165807537309522,1.4,"(0, 1)"
12,1,1.0,1.8144514107348257,1.1387091386958157,"(0, 1)"
13,1,1.0,1.8587918186900714,0.7765802747153208,"(0, 1)"
14,1,1.0,1.4741625799446347,0.7483314773547882,"(0, 1)"
15,1,1.0,1.4,0.7483314773547882,"(0, 1)"
16,1,1.0,1.3581995002034646,0.7483314773547882,"(0, 1)"
17,1,1.0,1.3199326582148887,0.7483314773547882,"(0, 1)"
