arc_id,from_node,to_node,base_cost,resource_id
0,0,1,1.0,0
1,1,0,1.0,0
2,0,85,1.0,1
3,85,0,1.0,1
4,85,2,1.0,2
5,2,85,1.0,2
6,1,86,1.0,3
7,86,1,1.0,3
8,86,87,1.0,4
9,87,86,1.0,4
10,87,3,1.0,5
11,3,87,1.0,5
12,2,88,1.0,6
13,88,2,1.0,6
14,88,89,1.0,7
15,89,88,1.0,7
16,89,90,1.0,8
17,90,89,1.0,8
18,90,91,1.0,9
19,91,90,1.0,9
20,91,92,1.0,10
21,92,91,1.0,10
22,92,93,1.0,11
23,93,92,1.0,11
24,93,94,1.0,12
25,94,93,1.0,12
26,94,95,1.0,13
27,95,94,1.0,13
28,95,4,1.0,14
29,4,95,1.0,14
30,3,5,1.0,15
31,5,3,1.0,15
32,4,96,1.0,16
33,96,4,1.0,16
34,96,5,1.0,17
35,5,96,1.0,17
36,5,97,1.0,18
37,97,5,1.0,18
38,97,98,1.0,19
39,98,97,1.0,19
40,98,99,1.0,20
41,99,98,1.0,20
42,99,100,1.0,21
43,100,99,1.0,21
44,100,101,1.0,22
45,101,100,1.0,22
46,101,6,1.0,23
47,6,101,1.0,23
48,6,102,1.0,24
49,102,6,1.0,24
50,102,103,1.0,25
51,103,102,1.0,25
52,103,104,1.0,26
53,104,103,1.0,26
54,104,105,1.0,27
55,105,104,1.0,27
56,105,7,1.0,28
57,7,105,1.0,28
58,7,8,1.0,29
59,8,7,1.0,29
60,8,106,1.0,30
61,106,8,1.0,30
62,106,107,1.0,31
63,107,106,1.0,31
64,107,9,1.0,32
65,9,107,1.0,32
66,9,10,1.0,33
67,10,9,1.0,33
68,10,108,1.0,34
69,108,10,1.0,34
70,108,109,1.0,35
71,109,108,1.0,35
72,109,110,1.0,36
73,110,109,1.0,36
74,110,111,1.0,37
75,111,110,1.0,37
76,111,112,1.0,38
77,112,111,1.0,38
78,112,11,1.0,39
79,11,112,1.0,39
80,11,113,1.0,40
81,113,11,1.0,40
82,113,114,1.0,41
83,114,113,1.0,41
84,114,115,1.0,42
85,115,114,1.0,42
86,115,116,1.0,43
87,116,115,1.0,43
88,116,117,1.0,44
89,117,116,1.0,44
90,117,12,1.0,45
91,12,117,1.0,45
92,12,13,1.0,46
93,13,12,1.0,46
94,12,118,1.0,47
95,118,12,1.0,47
96,118,14,1.0,48
97,14,118,1.0,48
98,13,119,1.0,49
99,119,13,1.0,49
100,119,120,1.0,50
101,120,119,1.0,50
102,120,15,1.0,51
103,15,120,1.0,51
104,14,121,1.0,52
105,121,14,1.0,52
106,121,122,1.0,53
107,122,121,1.0,53
108,122,123,1.0,54
109,123,122,1.0,54
110,123,124,1.0,55
111,124,123,1.0,55
112,124,125,1.0,56
113,125,124,1.0,56
114,125,126,1.0,57
115,126,125,1.0,57
116,126,16,1.0,58
117,16,126,1.0,58
118,15,17,1.0,59
119,17,15,1.0,59
120,16,127,1.0,60
121,127,16,1.0,60
122,127,17,1.0,61
123,17,127,1.0,61
124,17,128,1.0,62
125,128,17,1.0,62
126,128,129,1.0,63
127,129,128,1.0,63
128,129,130,1.0,64
129,130,129,1.0,64
130,130,131,1.0,65
131,131,130,1.0,65
132,131,132,1.0,66
133,132,131,1.0,66
134,132,18,1.0,67
135,18,132,1.0,67
136,18,133,1.0,68
137,133,18,1.0,68
138,133,134,1.0,69
139,134,133,1.0,69
140,134,135,1.0,70
141,135,134,1.0,70
142,135,136,1.0,71
143,136,135,1.0,71
144,136,137,1.0,72
145,137,136,1.0,72
146,137,138,1.0,73
147,138,137,1.0,73
148,138,19,1.0,74
149,19,138,1.0,74
150,19,20,1.0,75
151,20,19,1.0,75
152,20,139,1.0,76
153,139,20,1.0,76
154,139,140,1.0,77
155,140,139,1.0,77
156,140,21,1.0,78
157,21,140,1.0,78
158,21,22,1.0,79
159,22,21,1.0,79
160,22,141,1.0,80
161,141,22,1.0,80
162,141,23,1.0,81
163,23,141,1.0,81
164,23,24,1.0,82
165,24,23,1.0,82
166,24,142,1.0,83
167,142,24,1.0,83
168,142,143,1.0,84
169,143,142,1.0,84
170,143,144,1.0,85
171,144,143,1.0,85
172,144,25,1.0,86
173,25,144,1.0,86
174,25,145,1.0,87
175,145,25,1.0,87
176,145,146,1.0,88
177,146,145,1.0,88
178,146,147,1.0,89
179,147,146,1.0,89
180,147,26,1.0,90
181,26,147,1.0,90
182,26,27,1.0,91
183,27,26,1.0,91
184,26,148,1.0,92
185,148,26,1.0,92
186,148,28,1.0,93
187,28,148,1.0,93
188,27,149,1.0,94
189,149,27,1.0,94
190,149,150,1.0,95
191,150,149,1.0,95
192,150,29,1.0,96
193,29,150,1.0,96
194,28,151,1.0,97
195,151,28,1.0,97
196,151,152,1.0,98
197,152,151,1.0,98
198,152,153,1.0,99
199,153,152,1.0,99
200,153,154,1.0,100
201,154,153,1.0,100
202,154,155,1.0,101
203,155,154,1.0,101
204,155,156,1.0,102
205,156,155,1.0,102
206,156,157,1.0,103
207,157,156,1.0,103
208,157,158,1.0,104
209,158,157,1.0,104
210,158,30,1.0,105
211,30,158,1.0,105
212,29,31,1.0,106
213,31,29,1.0,106
214,30,159,1.0,107
215,159,30,1.0,107
216,159,31,1.0,108
217,31,159,1.0,108
218,31,160,1.0,109
219,160,31,1.0,109
220,160,161,1.0,110
221,161,160,1.0,110
222,161,162,1.0,111
223,162,161,1.0,111
224,162,32,1.0,112
225,32,162,1.0,112
226,32,35,1.0,113
227,35,32,1.0,113
228,32,163,1.0,114
229,163,32,1.0,114
230,163,36,1.0,115
231,36,163,1.0,115
232,33,164,1.0,116
233,164,33,1.0,116
234,164,165,1.0,117
