agent_id,start_node,target_node,earliest_departure,preferred_arrival,latest_arrival,move_interval,train_class,wait_cost,tardiness_cost,prox_weight,spacing_weight,desired_spacing
0,300,301,10,89,330,1,freight,0.0,1.0,1.0,0.0,0.0
1,302,303,11,82,323,1,freight,0.0,1.0,1.0,0.0,0.0
2,304,305,12,73,314,1,freight,0.0,1.0,1.0,0.0,0.0
3,306,307,193,447,688,1,freight,0.0,1.0,1.0,0.0,0.0
4,308,309,254,257,498,1,freight,0.0,1.0,1.0,0.0,0.0
5,310,311,435,794,1035,1,freight,0.0,1.0,1.0,0.0,0.0
6,312,313,496,621,862,1,freight,0.0,1.0,1.0,0.0,0.0
7,314,315,557,664,905,1,freight,0.0,1.0,1.0,0.0,0.0
8,316,317,618,597,838,1,freight,0.0,1.0,1.0,0.0,0.0
9,318,319,19,47,288,1,freight,0.0,1.0,1.0,0.0,0.0
10,320,321,20,41,282,1,freight,0.0,1.0,1.0,0.0,0.0
11,322,323,11,115,356,1,freight,0.0,1.0,1.0,0.0,0.0
12,324,325,12,240,481,1,freight,0.0,1.0,1.0,0.0,0.0
13,326,327,313,254,495,1,freight,0.0,1.0,1.0,0.0,0.0
14,328,329,434,405,646,1,freight,0.0,1.0,1.0,0.0,0.0
15,330,331,495,473,714,1,freight,0.0,1.0,1.0,0.0,0.0
16,332,333,556,494,735,1,freight,0.0,1.0,1.0,0.0,0.0
17,334,335,17,44,285,1,freight,0.0,1.0,1.0,0.0,0.0
18,336,337,18,48,289,1,freight,0.0,1.0,1.0,0.0,0.0
19,338,339,19,20,261,1,freight,0.0,1.0,1.0,0.0,0.0
20,340,341,700,712,953,1,freight,0.0,1.0,1.0,0.0,0.0
21,342,343,710,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
22,344,345,720,732,973,1,freight,0.0,1.0,1.0,0.0,0.0
23,346,347,730,742,983,1,freight,0.0,1.0,1.0,0.0,0.0
24,348,349,740,752,993,1,freight,0.0,1.0,1.0,0.0,0.0
25,350,351,750,762,1003,1,freight,0.0,1.0,1.0,0.0,0.0
26,352,353,760,772,1013,1,freight,0.0,1.0,1.0,0.0,0.0
27,354,355,770,782,1023,1,freight,0.0,1.0,1.0,0.0,0.0
28,356,357,780,792,1033,1,freight,0.0,1.0,1.0,0.0,0.0
29,358,359,790,802,1043,1,freight,0.0,1.0,1.0,0.0,0.0
30,360,361,700,712,953,1,freight,0.0,1.0,1.0,0.0,0.0
31,362,363,710,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
32,364,365,720,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
33,366,367,730,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
34,368,369,740,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
35,370,371,750,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
36,372,373,760,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
37,374,375,770,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
38,376,377,780,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
39,378,379,790,722,963,1,freight,0.0,1.0,1.0,0.0,0.0
