rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,290,EB,Merchandise,10367,10324
2,290,EB,Merchandise,10367,10279
3,280,EB,Merchandise,10367,10107
4,274,EB,Merchandise,10367,10108
5,260,EB,Merchandise,10367,11678
6,220,EB,Merchandise,10367,11757
7,220,EB,Merchandise,10264,10323
8,210,EB,Merchandise,10367,10323
9,200,EB,Merchandise,10367,10283
10,200,EB,Merchandise,10264,11678
11,190,EB,Merchandise,10264,10283
12,110,EB,Intermodal,10224,11678
13,100,WB,Intermodal,10323,10095
14,100,EB,Intermodal,10224,10323
15,90,WB,Intermodal,10323,10224
16,90,EB,Intermodal,10224,10324
17,80,WB,Merchandise,11678,10224
18,70,WB,Merchandise,11678,10168
19,70,WB,Intermodal,10323,10264
20,70,WB,Intermodal,10323,10213
21,70,WB,Intermodal,10323,10166
22,70,EB,Intermodal,10224,10283
23,70,EB,Intermodal,10224,10261
24,64,WB,Intermodal,10323,10168
25,60,WB,Merchandise,11678,10263
