train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01G,1,28,1,0,0,0,0.85,0,0,0,0,410
EB02G,1,28,1,0,0,0,0.85,60,0,0,0,470
EB03G,1,28,1,0,0,0,0.85,120,0,0,0,530
EB04G,1,28,1,0,0,0,0.85,180,0,0,0,590
EB05G,1,28,1,0,0,0,0.85,240,0,0,0,650
EB06G,1,28,1,0,0,0,0.85,300,0,0,0,710
EB07G,1,28,1,0,0,0,0.85,360,0,0,0,770
EB08M,1,28,1,0,0,0,1.0,420,0,0,0,771
EB09G,1,28,1,0,0,0,0.85,480,0,0,0,890
EB10M,1,28,1,0,0,0,1.0,540,0,0,0,891
EB11G,1,28,1,0,0,0,0.85,600,0,0,0,1010
EB12Z,1,28,1,0,0,0,1.25,660,0,0,0,944
WB01G,28,1,2,0,0,0,0.85,17,0,0,0,427
WB02G,28,1,2,0,0,0,0.85,77,0,0,0,487
WB03G,28,1,2,0,0,0,0.85,137,0,0,0,547
WB04G,28,1,2,0,0,0,0.85,197,0,0,0,607
WB05G,28,1,2,0,0,0,0.85,257,0,0,0,667
WB06G,28,1,2,0,0,0,0.85,317,0,0,0,727
WB07G,28,1,2,0,0,0,0.85,377,0,0,0,787
WB08M,28,1,2,0,0,0,1.0,437,0,0,0,788
WB09G,28,1,2,0,0,0,0.85,497,0,0,0,907
WB10M,28,1,2,0,0,0,1.0,557,0,0,0,908
WB11G,28,1,2,0,0,0,0.85,617,0,0,0,1027
WB12Z,28,1,2,0,0,0,1.25,677,0,0,0,961
