from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,1.53,15.49,15.49,2,4,1
2,3,1.25,42.00,42.00,2,4,1
3,4,4.60,42.00,42.00,1,4,1
4,5,1.70,42.00,42.00,2,4,1
5,6,0.58,25.00,25.00,2,4,1
6,7,1.00,25.00,25.00,1,4,1
7,8,8.62,25.00,25.00,2,4,1
8,9,6.77,25.00,25.00,2,4,1
9,10,12.57,35.00,35.00,2,4,1
10,11,11.69,35.00,35.00,2,4,1
11,12,12.68,35.00,35.00,3,4,1
12,13,10.47,35.00,35.00,3,4,1
13,14,19.22,35.00,35.00,3,4,1
14,15,22.73,35.00,35.00,3,4,1
15,16,12.38,35.00,35.00,3,4,1
16,17,6.16,35.00,35.00,2,4,1
17,18,3.63,35.00,35.00,1,4,1
18,19,4.73,35.00,35.00,2,4,1
19,20,5.74,35.00,35.00,1,4,1
20,21,4.26,35.00,35.00,2,4,1
21,22,6.76,35.00,35.00,1,4,1
22,23,3.89,25.00,25.00,2,4,1
23,24,4.83,25.00,25.00,1,4,1
24,25,2.15,16.21,16.21,1,4,1
25,26,3.19,18.00,18.00,2,4,1
26,27,2.13,18.00,18.00,1,4,1
27,28,1.83,17.00,17.00,2,4,1
