rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,390,EB,Merchandise,10367,10556
2,293,EB,Merchandise,10367,10328
3,290,EB,Merchandise,10367,10279
4,280,EB,Merchandise,10367,10195
5,280,EB,Merchandise,10367,10107
6,274,EB,Merchandise,10367,10108
7,260,EB,Merchandise,10367,11060
8,250,EB,Merchandise,10367,10247
9,250,EB,Merchandise,10367,10101
10,230,EB,Merchandise,10367,11651
11,220,EB,Merchandise,10367,11757
12,210,EB,Merchandise,10367,10534
13,210,EB,Merchandise,10367,10323
14,210,EB,Merchandise,10367,10224
15,210,EB,Merchandise,10367,10168
16,200,EB,Merchandise,10367,10283
17,190,EB,Merchandise,10367,10242
18,170,EB,Merchandise,10367,11702
19,170,EB,Merchandise,10367,11656
20,170,EB,Merchandise,10367,11586
21,170,EB,Merchandise,10367,11033
22,170,EB,Merchandise,10367,10354
23,170,EB,Merchandise,10367,10278
24,170,EB,Merchandise,10367,10227
25,170,EB,Merchandise,10367,10139
