from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,5.46,21.35,21.35,2,4,1
2,3,4.44,26.59,26.59,1,4,1
3,4,10.20,30.23,30.23,2,4,1
4,5,11.79,21.03,21.03,2,4,1
5,6,8.29,21.00,21.00,2,4,1
6,7,4.55,25.00,25.00,1,4,1
7,8,2.39,25.00,25.00,2,4,1
8,9,11.54,23.47,23.47,1,4,1
9,10,9.24,25.00,25.00,1,4,1
10,11,14.27,25.00,25.00,2,4,1
11,12,14.41,25.00,25.00,2,4,1
12,13,4.19,25.00,25.00,2,4,1
13,14,8.31,25.00,25.00,2,4,1
14,15,14.19,25.00,25.00,2,4,1
15,16,10.71,25.00,25.00,2,4,1
16,17,10.43,25.00,25.00,2,4,1
17,18,10.23,25.00,25.00,2,4,1
18,19,10.39,25.69,25.69,2,4,1
19,20,10.28,28.00,28.00,2,4,1
20,21,10.43,28.00,28.00,2,4,1
21,22,5.54,28.00,28.00,2,4,1
22,23,0.64,28.00,28.00,1,4,1
23,24,5.18,28.00,28.00,2,4,1
24,25,15.24,28.00,28.00,2,4,1
25,26,2.82,28.00,28.00,2,4,1
26,27,1.15,28.00,28.00,1,4,1
27,28,1.71,28.00,28.00,2,4,1
28,29,0.44,28.00,28.00,1,4,1
29,30,0.17,28.00,28.00,2,4,1
30,31,1.02,28.00,28.00,1,4,1
31,32,4.92,28.00,28.00,2,4,1
32,33,4.29,28.00,28.00,1,4,1
33,34,13.98,28.00,28.00,2,4,1
34,35,12.01,28.00,28.00,2,4,1
35,36,3.10,28.00,28.00,2,4,1
36,37,13.67,28.00,28.00,2,4,1
37,38,11.00,28.00,28.00,2,4,1
38,39,9.65,28.00,28.00,2,4,1
39,40,12.74,28.00,28.00,2,4,1
40,41,3.70,18.93,18.93,2,4,1
