train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01G,1,41,1,0,0,0,0.85,0,0,0,0,861
EB02G,1,41,1,0,0,0,0.85,120,0,0,0,981
EB03G,1,41,1,0,0,0,0.85,241,0,0,0,1102
EB04G,1,41,1,0,0,0,0.85,362,0,0,0,1223
EB05M,1,41,1,0,0,0,1.0,482,0,0,0,1219
EB06G,1,41,1,0,0,0,0.85,603,0,0,0,1464
EB07M,1,41,1,0,0,0,1.0,724,0,0,0,1461
EB08Z,1,41,1,0,0,0,1.25,845,0,0,0,1435
WB01G,41,1,2,0,0,0,0.85,17,0,0,0,878
WB02G,41,1,2,0,0,0,0.85,137,0,0,0,998
WB03G,41,1,2,0,0,0,0.85,258,0,0,0,1119
WB04G,41,1,2,0,0,0,0.85,379,0,0,0,1240
WB05M,41,1,2,0,0,0,1.0,499,0,0,0,1236
WB06G,41,1,2,0,0,0,0.85,620,0,0,0,1481
WB07M,41,1,2,0,0,0,1.0,741,0,0,0,1478
WB08Z,41,1,2,0,0,0,1.25,862,0,0,0,1452
