rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,129,EB,Automobile,10813,11420
2,100,WB,Merchandise,11033,11430
3,100,WB,Merchandise,10956,10813
4,90,WB,Merchandise,10956,11362
5,83,EB,Automobile,10813,10023
6,80,WB,Merchandise,11033,11362
7,80,WB,Merchandise,11033,10402
8,80,WB,Merchandise,10956,11430
9,80,WB,Intermodal,11420,10064
10,80,WB,Intermodal,11420,10049
11,80,WB,Intermodal,11420,10048
12,80,WB,Automobile,11656,10402
13,80,EB,Automobile,10813,10390
14,70,WB,Intermodal,11420,10159
15,70,WB,Intermodal,11420,10078
16,70,WB,Intermodal,11420,10063
17,66,WB,Merchandise,10810,10813
18,63,WB,Intermodal,11420,10184
19,60,WB,Merchandise,11656,11430
20,60,WB,Merchandise,10956,10402
21,60,WB,Merchandise,10810,11215
22,60,WB,Intermodal,11420,10361
23,60,WB,Intermodal,11420,10073
24,60,WB,Intermodal,10390,10403
25,60,WB,Intermodal,10390,10402
