agent_id,start_node,target_node,earliest_departure,preferred_arrival,latest_arrival,move_interval,train_class,wait_cost,tardiness_cost,prox_weight,spacing_weight,desired_spacing
0,18,19,0,18,29,1,passenger,0.22,1.2,1.0,0.25,2.0
1,20,21,1,34,47,2,freight,0.18,0.9,1.0,0.25,2.0
2,22,23,3,23,35,1,regional,0.24,1.0,0.9,0.2,2.0
3,42,43,2,20,31,1,passenger,0.22,1.2,1.0,0.25,2.0
4,44,45,3,36,49,1,passenger,0.18,0.9,1.0,0.25,2.0
5,46,47,5,25,37,1,regional,0.24,1.0,0.9,0.2,2.0
6,66,67,4,22,33,1,passenger,0.22,1.2,1.0,0.25,2.0
7,68,69,5,38,51,1,passenger,0.18,0.9,1.0,0.25,2.0
8,70,71,7,27,39,1,regional,0.24,1.0,0.9,0.2,2.0
9,90,91,6,24,35,1,passenger,0.22,1.2,1.0,0.25,2.0
10,92,93,7,40,53,2,freight,0.18,0.9,1.0,0.25,2.0
11,94,95,9,29,41,1,regional,0.24,1.0,0.9,0.2,2.0
12,114,115,0,18,29,1,passenger,0.22,1.2,1.0,0.25,2.0
13,116,117,1,34,47,1,passenger,0.18,0.9,1.0,0.25,2.0
14,118,119,3,23,35,1,regional,0.24,1.0,0.9,0.2,2.0
15,138,139,2,20,31,1,passenger,0.22,1.2,1.0,0.25,2.0
16,140,141,3,36,49,1,passenger,0.18,0.9,1.0,0.25,2.0
17,142,143,5,25,37,1,regional,0.24,1.0,0.9,0.2,2.0
18,162,163,4,22,33,1,passenger,0.22,1.2,1.0,0.25,2.0
19,164,165,5,38,51,2,freight,0.18,0.9,1.0,0.25,2.0
20,166,167,7,27,39,1,regional,0.24,1.0,0.9,0.2,2.0
21,186,187,6,24,35,1,passenger,0.22,1.2,1.0,0.25,2.0
22,188,189,7,40,53,1,passenger,0.18,0.9,1.0,0.25,2.0
23,190,191,9,29,41,1,regional,0.24,1.0,0.9,0.2,2.0
