from,to,length,speed_ft,speed_tf,capacity,link_type,bidir
1,2,0.40,49.00,49.00,2,4,1
2,3,0.41,49.00,49.00,1,4,1
3,4,3.02,14.00,14.00,2,4,1
4,5,3.71,46.00,46.00,2,4,1
5,6,4.89,32.00,32.00,1,4,1
6,7,6.02,42.00,42.00,1,4,1
7,8,10.33,20.00,20.00,1,4,1
8,9,9.14,20.00,20.00,1,4,1
9,10,10.14,32.14,32.14,1,4,1
10,11,14.19,24.75,24.75,1,4,1
11,12,4.83,43.67,43.67,1,4,1
12,13,7.38,21.00,21.00,1,4,1
13,14,9.77,49.00,49.00,1,4,1
14,15,8.05,39.69,39.69,1,4,1
15,16,12.60,49.00,49.00,1,4,1
16,17,13.89,22.87,22.87,1,4,1
17,18,9.74,22.67,22.67,1,4,1
18,19,1.96,39.00,39.00,1,4,1
19,20,10.91,28.00,28.00,1,4,1
20,21,13.07,28.00,28.00,1,4,1
21,22,11.72,28.00,28.00,1,4,1
22,23,13.50,22.65,22.65,1,4,1
23,24,5.06,21.00,21.00,1,4,1
24,25,0.75,35.00,35.00,1,4,1
25,26,0.35,35.00,35.00,2,4,1
