rank,cars_70d,direction,block_type,origin_yard_id,dest_yard_id
1,500,WB,Merchandise,10846,11060
2,490,WB,Merchandise,10846,11678
3,390,WB,Merchandise,10846,10023
4,380,WB,Merchandise,10846,11033
5,380,WB,Merchandise,10846,10278
6,373,WB,Merchandise,10846,11656
7,370,WB,Merchandise,10846,11702
8,370,WB,Merchandise,10846,10324
9,350,WB,Merchandise,10846,11751
10,350,WB,Merchandise,10846,11727
11,340,WB,Merchandise,10846,11703
12,160,WB,Merchandise,10846,10163
13,159,WB,Merchandise,10846,11400
14,140,WB,Merchandise,10846,11697
15,140,WB,Merchandise,10846,11696
16,130,WB,Merchandise,10846,11646
17,130,WB,Merchandise,10846,10390
18,113,WB,Merchandise,10846,11711
19,110,WB,Merchandise,10846,11708
20,100,WB,Merchandise,10846,11715
21,100,WB,Merchandise,10846,10546
22,90,WB,Merchandise,10846,10534
23,90,WB,Merchandise,10846,10108
24,90,EB,Merchandise,11678,10273
25,84,WB,Merchandise,11694,10023
