train_id,origin,dest,dir,TOB,length,hazmat,speed_mult,entry,cost_stop,cost_early,cost_run,intended_arrival
EB01M,1,21,1,0,0,0,1.0,0,0,0,0,319
EB02M,1,21,1,0,0,0,1.0,160,0,0,0,479
EB03Z,1,21,1,0,0,0,1.25,320,0,0,0,576
EB04G,1,21,1,0,0,0,0.85,480,0,0,0,851
EB05M,1,21,1,0,0,0,1.0,640,0,0,0,959
EB06Z,1,21,1,0,0,0,1.25,800,0,0,0,1056
WB01M,21,1,2,0,0,0,1.0,17,0,0,0,336
WB02M,21,1,2,0,0,0,1.0,177,0,0,0,496
WB03Z,21,1,2,0,0,0,1.25,337,0,0,0,593
WB04G,21,1,2,0,0,0,0.85,497,0,0,0,868
WB05M,21,1,2,0,0,0,1.0,657,0,0,0,976
WB06Z,21,1,2,0,0,0,1.25,817,0,0,0,1073
